Project,Report's URL,Sentence,Location Mentioned,"Admin 1
Division","Admin 2
District","Admin 3
Township",Admin 4
,,"Strong winds, heavy rains and hail storms in April affected around 40 townships across Chin, Kachin, Mandalay, Rakhine, Sagaing and Shan. From February to June 2016, Myanmar also experienced the effects of El Niño including extreme
temperatures, unusual rainfall patterns, dry soil, high risk of fires and acute water shortages. ",Mandalay,Mandalay,,,
,,"Strong winds, heavy rains and hail storms in April affected around 40 townships across Chin, Kachin, Mandalay, Rakhine, Sagaing and Shan. From February to June 2016, Myanmar also experienced the effects of El Niño including extreme
temperatures, unusual rainfall patterns, dry soil, high risk of fires and acute water shortages. ",Rakhine,Rakhine,,,
,,"Strong winds, heavy rains and hail storms in April affected around 40 townships across Chin, Kachin, Mandalay, Rakhine, Sagaing and Shan. From February to June 2016, Myanmar also experienced the effects of El Niño including extreme
temperatures, unusual rainfall patterns, dry soil, high risk of fires and acute water shortages. ",Sagaing,Sagaing,,,
,,"Strong winds, heavy rains and hail storms in April affected around 40 townships across Chin, Kachin, Mandalay, Rakhine, Sagaing and Shan. From February to June 2016, Myanmar also experienced the effects of El Niño including extreme
temperatures, unusual rainfall patterns, dry soil, high risk of fires and acute water shortages. ",Shan,Shan,,,
,," The most severe impacts were seen in communities along the border between
Magway and Mandalay",Magway,Magway,,,
,," The most severe impacts were seen in communities along the border between
Magway and Mandalay",Mandalay,Mandalay,,,
,,"In April 2016, another 6.9 magnitude earthquake
struck near Mawlaik in Sagaing but there were no casualties and no major damage was recorded.",Mawlaik,Sagaing,Mawlaik,Mawlaik,
,,"In April 2016, another 6.9 magnitude earthquake
struck near Mawlaik in Sagaing but there were no casualties and no major damage was recorded.",Sagaing,Sagaing,,,
,,"The gap remains (US$1.5 million) in the most
pressing areas in Sittwe and Pauktaw Townships.",Sittwe,Rakhine,Sittwe,Sittwe,
,,"The gap remains (US$1.5 million) in the most
pressing areas in Sittwe and Pauktaw Townships.",Pauktaw,Rakhine,Sittwe,Pauktaw,
,,"The greatest risk was found to be in Minbya and
Pauktaw (high incidence of unprotected sources, 71% and 60% respectively), followed by
Kyaukpyu (due to low water treatment). ",Minbya,Rakhine,Mrauk- U,Minbya,
,,"The greatest risk was found to be in Minbya and
Pauktaw (high incidence of unprotected sources, 71% and 60% respectively), followed by
Kyaukpyu (due to low water treatment). ",Pauktaw,Rakhine,Sittwe,Pauktaw,
,,"The greatest risk was found to be in Minbya and
Pauktaw (high incidence of unprotected sources, 71% and 60% respectively), followed by
Kyaukpyu (due to low water treatment). ",Kyaukpyu,Rakhine,Kyaukpyu,Kyaukpyu,
,,"Rakhine state is one of the least developed
States of Myanmar",Rakhine,Rakhine,,,
,,"The four most affected townships were Kyaukpyu, Minbya, Myebon, and Pauktaw.",Kyaukpyu,Rakhine,Kyaukpyu,Kyaukpyu,
,,"The four most affected townships were Kyaukpyu, Minbya, Myebon, and Pauktaw.",Minbya,Rakhine,Mrauk-U,Minbya,
,,"The four most affected townships were Kyaukpyu, Minbya, Myebon, and Pauktaw.",Myebon,Rakhine,Mrauk-U,Myebon,
,,"The four most affected townships were Kyaukpyu, Minbya, Myebon, and Pauktaw.",Pauktaw,Rakhine,Sittwe,Pauktaw,
,,"The townships of Minbya, Myebon and
Kyaukpyu are located in the western part
of Rakhine State on the coastline of the
Bay of Bengal ",Myebon,Rakhine,Mrauk-U,Myebon,
,,"The townships of Minbya, Myebon and
Kyaukpyu are located in the western part
of Rakhine State on the coastline of the
Bay of Bengal ",Minbya,Rakhine,Mrauk-U,Minbya,
,,"The townships of Minbya, Myebon and
Kyaukpyu are located in the western part
of Rakhine State on the coastline of the
Bay of Bengal ",Kyaukpyu,Rakhine,Kyaukpyu,Kyaukpyu,
,,"The townships of Minbya, Myebon and
Kyaukpyu are located in the western part
of Rakhine State on the coastline of the
Bay of Bengal ",Rakhine,Rakhine,,,
,https://reliefweb.int/sites/reliefweb.int/files/resources/Myanmar%20Humanitarian%20Bulletin_16Nov2017_FINAL%20%281%29_0.pdf,"There have been widespread allegations of attacks on civilians, threats and violence used to drive people out of their homes and other
serious human rights violations, including the
killing of civilians and largescale burnings of villages in Maungdaw, Buthidaung and
Rathedaung townships.",Maungdaw,Rakhine,Maungdaw,Maungdaw,
,,"There have been widespread allegations of attacks on civilians, threats and violence used to drive people out of their homes and other
serious human rights violations, including the
killing of civilians and largescale burnings of villages in Maungdaw, Buthidaung and
Rathedaung townships.",Buthidaung,Rakhine,Maungdaw,Buthidaung,
,,"There have been widespread allegations of attacks on civilians, threats and violence used to drive people out of their homes and other
serious human rights violations, including the
killing of civilians and largescale burnings of villages in Maungdaw, Buthidaung and
Rathedaung townships.",Rathedaung,Rakhine,Sittwe,Rathedaung,
,,"In late October, WFP was granted permission to re-start food distributions in Maungdaw and Buthidaung townships. 
",Maungdaw,Rakhine,Maungdaw,Maungdaw,
,,"In late October, WFP was granted permission to re-start food distributions in Maungdaw and Buthidaung townships. 
",Buthidaung,Rakhine,Maungdaw,Buthidaung,
,,"As a result of increased inter-communal tensions since 25 August, Muslim people in  townships such as Minbya, Mrauk-U and Kyauktaw in central Rakhine have been facing greater movement, labour and trade restrictions than ever before.",Minbya,Rakhine,Mrauk-U,Minbya,
,,"As a result of increased inter-communal tensions since 25 August, Muslim people in  townships such as Minbya, Mrauk-U and Kyauktaw in central Rakhine have been facing greater movement, labour and trade restrictions than ever before.",Mrauk-U,Rakhine,Mrauk-U,Mrauk- U,
,,"As a result of increased inter-communal tensions since 25 August, Muslim people in  townships such as Minbya, Mrauk-U and Kyauktaw in central Rakhine have been facing greater movement, labour and trade restrictions than ever before.",Kyauktaw,Rakhine,Mrauk-U,Kyauktaw,
,,"To increase awareness and understanding of the
situation of displaced people with disability, in
August this year, UNHCR worked with the Photo Doc Association to provide a 10- day professional training on photo story telling for a group of people with a physical and/or mental
disability and their caregivers in Man Hkring
and Shwe Zet IDP camps in Myitkyina Township, Kachin State.",Myitkyina,Kachin,Myitkyina,Myitkyina,
,,"To increase awareness and understanding of the
situation of displaced people with disability, in
August this year, UNHCR worked with the Photo Doc Association to provide a 10- day professional training on photo story telling for a group of people with a physical and/or mental
disability and their caregivers in Man Hkring
and Shwe Zet IDP camps in Myitkyina Township, Kachin State.",Kachin,Kachin,,,
,https://reliefweb.int/sites/reliefweb.int/files/resources/17-56-s1.pdf,"This Situation Update describes events occurring in Thandaunggyi Township, Toungoo District during the period between November 2016 to March 2017, including Tatmadaw activity, education, healthcare and livelihoods. ",Thandaungyii,Kayin,Hpa-An,Thandaung,
,,"This Situation Update describes events occurring in Thandaunggyi Township, Toungoo District during the period between November 2016 to March 2017, including Tatmadaw activity, education, healthcare and livelihoods. ",Toungoo,Bago,Taunngoo,Taungoo,
,,"Villagers were concerned for their security when Bu Yin Naung military section conducted the 48th
annual Company Commander training between November 8th and 11th, 2016 on confiscated land
in Kyon Kone, Nan Thar Kone and Ywar Thit villages.",Kyon Kone,,,,
,,"Villagers were concerned for their security when Bu Yin Naung military section conducted the 48th
annual Company Commander training between November 8th and 11th, 2016 on confiscated land
in Kyon Kone, Nan Thar Kone and Ywar Thit villages.",Nan Thar Kone,Bago,Bago,La Thar Kone,
,,"Villagers were concerned for their security when Bu Yin Naung military section conducted the 48th
annual Company Commander training between November 8th and 11th, 2016 on confiscated land
in Kyon Kone, Nan Thar Kone and Ywar Thit villages.",Ywar Thit,Sagaing,Yinmabin,Ywar Thit,
,,"The educational situation in Thandaunggyi Township, and particularly in the western part of Day Lo area and the P’Leh Hoo Geh area, remains poor as many are unable to access education and
the overall quality of education is poor.",Thandaunggyi,Kayin,Hpa-An,Thandaung,
,,"The educational situation in Thandaunggyi Township, and particularly in the western part of Day Lo area and the P’Leh Hoo Geh area, remains poor as many are unable to access education and
the overall quality of education is poor.",Day Lo,Kayah,Loikaw,Daw Lo Shey,
,,"The educational situation in Thandaunggyi Township, and particularly in the western part of Day Lo area and the P’Leh Hoo Geh area, remains poor as many are unable to access education and
the overall quality of education is poor.",P'Leh Hoo Geh,,,,
,,"The health situation in Thandaunggyi Township, and particularly in Ta Poo area and in the
western part of Klay Wa area remains poor as local villagers have difficulty accessing healthcare
due to insufficient medicine supplies and health workers.",Thandaunggyi,Kayin,Hpa-An,Thandaung,
,,"The health situation in Thandaunggyi Township, and particularly in Ta Poo area and in the
western part of Klay Wa area remains poor as local villagers have difficulty accessing healthcare
due to insufficient medicine supplies and health workers.",Ta Poo,Kayin,Hpa-An,Thandaung,Ta Poo
,,"The health situation in Thandaunggyi Township, and particularly in Ta Poo area and in the
western part of Klay Wa area remains poor as local villagers have difficulty accessing healthcare
due to insufficient medicine supplies and health workers.",Klay Wa,,,,
,,"This situation update describes events occurring in Daw Hpa Hkoh [Thandaunggyi] Township,
Taw Oo [Toungoo] District, between November 11th 2016 and March 13th 2017, including
Tatmadaw activity, education, healthcare, and livelihoods. ",Thandaunggyi,Kayin,Hpa-An,Thandaung,
,,"This situation update describes events occurring in Daw Hpa Hkoh [Thandaunggyi] Township,
Taw Oo [Toungoo] District, between November 11th 2016 and March 13th 2017, including
Tatmadaw activity, education, healthcare, and livelihoods. ",Daw Hpa Hkoh,Kayin,Hpa-An,Thandaung,Daw Hpa Hkoh
,,"This situation update describes events occurring in Daw Hpa Hkoh [Thandaunggyi] Township,
Taw Oo [Toungoo] District, between November 11th 2016 and March 13th 2017, including
Tatmadaw activity, education, healthcare, and livelihoods. ",Taw Oo,Bago,Taungoo,Taungoo,Taw Oo
,,"This situation update describes events occurring in Daw Hpa Hkoh [Thandaunggyi] Township,
Taw Oo [Toungoo] District, between November 11th 2016 and March 13th 2017, including
Tatmadaw activity, education, healthcare, and livelihoods. ",Toungoo,Bago,Taungoo,Taungoo,
,,"Bu Yin Naung military section has confiscated villagers’ land in Kyon Kone, Nan Thar Kone, and
Ywar Thit villages in order to retain the land as military training areas; this land was used to
conduct the 48th annual Company Commander Training",Kyon Kone,Kyon Kone,,,
,,"Bu Yin Naung military section has confiscated villagers’ land in Kyon Kone, Nan Thar Kone, and
Ywar Thit villages in order to retain the land as military training areas; this land was used to
conduct the 48th annual Company Commander Training",Nan Thar Kone,Yangon,Thanliyn,Nan Thar Kone,
,,"Bu Yin Naung military section has confiscated villagers’ land in Kyon Kone, Nan Thar Kone, and
Ywar Thit villages in order to retain the land as military training areas; this land was used to
conduct the 48th annual Company Commander Training",Ywar Thit,Sagaing,Yinmabin,Ywar Thit,
,,"On November 1st, Military Operation Command (MOC)3 went to Ko Day and Th’Aye Hta villages
and came back to Kler Lar village with eight soldiers and one commander.",Ko Day,,,,
,,"On November 1st, Military Operation Command (MOC)3 went to Ko Day and Th’Aye Hta villages
and came back to Kler Lar village with eight soldiers and one commander.",Th'Aye Hta,,,,
,,"On November 1st, Military Operation Command (MOC)3 went to Ko Day and Th’Aye Hta villages
and came back to Kler Lar village with eight soldiers and one commander.",Kler Lar,,,,
,,"On December 7th, Tatmadaw troops transported rations to Kler Lar [village/area] with 15 military
trucks. On the same day, MOC (Military Operations Command) #20 commander Aung Myo
Than came back to Taw Oo Town.",Kler Lar,,,,
,,"On December 7th, Tatmadaw troops transported rations to Kler Lar [village/area] with 15 military
trucks. On the same day, MOC (Military Operations Command) #20 commander Aung Myo
Than came back to Taw Oo Town.",Taw Oo,Bago,Taungoo,Taungoo,Taw Oo
,,"On December 16th, Tatmadaw troops patrolled (for security reasons) the road from P’Leh Wa
[area] to Klay So Hkee [area]",P'Leh Wa,,,,
,,"On December 16th, Tatmadaw troops patrolled (for security reasons) the road from P’Leh Wa
[area] to Klay So Hkee [area]",Klay So Hkee,,,,
,,"They also sent out rations with 19 military trucks to the militarycamps close by in the Kler Lar, Kaw Thay Der, Th’Aye Hta, and Bu Hsa Hkee areas. At thesame time, they continued construction on the road in Th’Aye Hta area and extended their
camps’ areas. ",Kler Lar,,,,
,,"They also sent out rations with 19 military trucks to the militarycamps close by in the Kler Lar, Kaw Thay Der, Th’Aye Hta, and Bu Hsa Hkee areas. At thesame time, they continued construction on the road in Th’Aye Hta area and extended their
camps’ areas. ",Kaw Thay Der,,,,
,,"They also sent out rations with 19 military trucks to the militarycamps close by in the Kler Lar, Kaw Thay Der, Th’Aye Hta, and Bu Hsa Hkee areas. At thesame time, they continued construction on the road in Th’Aye Hta area and extended their
camps’ areas. ",Th'Aye Hta,,,,
,,"They also sent out rations with 19 military trucks to the militarycamps close by in the Kler Lar, Kaw Thay Der, Th’Aye Hta, and Bu Hsa Hkee areas. At thesame time, they continued construction on the road in Th’Aye Hta area and extended their
camps’ areas. ",Bu Has Hkee,,,,
,,"On December 9th, over 90 Tatmadaw armed soldiers came to Hplay Hsa Loh and carried with
them artilleries/heavy weapons such as 60mm and RPG7 shells. ",Hplay Hsa Loh ,,,,
,, The P’Leh Wa military camp sent rations through the water route with a motor boat which was full of rice to Yaw Lo (Kyoe T’ Ta) area. ,P'Leh Wa,,,,
,, The P’Leh Wa military camp sent rations through the water route with a motor boat which was full of rice to Yaw Lo (Kyoe T’ Ta) area. ,Yaw Lo,,,,
,, The P’Leh Wa military camp sent rations through the water route with a motor boat which was full of rice to Yaw Lo (Kyoe T’ Ta) area. ,Kyoe T'Ta,,,,
,,Local people in Taw Oo District mostly make their living as farmers.,Taw Oo,Bago,Taungoo,Taungoo,Taw Oo
